Country, Player1, Player2, Group
Chad,Alpha,Bravo, Group A
Russia,Charlie,Delta, Group A
Canada,Echo,Foxtrot, Group A
France,Golf,Hotel, Group A
Italy,India,Juliet, Group B
Japan,Kilo,Lima, Group B
United Kingdom,Mike,November, Group B
Sweden,Oscar,Papa, Group B
Denmark,Quebec,Romeo, Group C
Ireland,Sierra,Tango, Group C
India,Uniform,Victor, Group C
Belarus,Whiskey,X-Ray, Group C
United States,Yankee,Zulu, Group D
South Korea,Beta,Gamma, Group D
Finland,Epsilon,Zeta, Group D
Chile,Eta,Theta, Group D